iter	Passed	Remaining
415	2859	4013
416	2865	4006
417	2872	3999
418	2876	3988
419	2882	3980
420	2889	3973
421	2895	3966
422	2900	3956
423	2907	3949
424	2912	3940
425	2918	3933
426	2925	3925
427	2932	3919
428	2937	3909
429	2942	3901
430	2948	3892
431	2955	3885
432	2962	3878
433	2968	3871
434	2975	3864
435	2980	3856
436	2987	3848
437	2991	3838
438	2995	3828
439	3001	3820
440	3005	3810
441	3012	3803
442	3019	3796
443	3026	3789
444	3030	3780
445	3037	3772
446	3044	3765
447	3050	3758
448	3057	3752
449	3061	3742
450	3068	3734
451	3072	3725
452	3081	3720
453	3088	3713
454	3095	3707
455	3099	3697
456	3105	3690
457	3109	3680
458	3115	3672
459	3122	3665
460	3128	3658
461	3135	3651
462	3142	3644
463	3148	3637
464	3155	3630
465	3162	3623
466	3168	3616
467	3175	3610
468	3182	3603
469	3189	3596
470	3195	3589
471	3202	3582
472	3209	3575
473	3215	3568
474	3222	3561
475	3228	3553
476	3232	3544
477	3239	3537
478	3246	3530
479	3252	3523
480	3259	3516
481	3265	3509
482	3272	3502
483	3276	3493
484	3282	3486
485	3289	3479
486	3295	3470
487	3299	3462
488	3306	3455
489	3312	3448
490	3319	3441
491	3326	3434
492	3332	3427
493	3338	3419
494	3345	3412
495	3351	3405
496	3356	3396
497	3360	3387
498	3367	3380
499	3371	3371
500	3376	3362
501	3380	3353
502	3386	3346
503	3391	3337
504	3395	3328
505	3402	3321
506	3409	3314
507	3412	3305
508	3417	3296
509	3423	3289
510	3430	3282
511	3437	3276
512	3441	3267
513	3445	3258
514	3452	3251
515	3460	3246
516	3468	3240
517	3474	3233
518	3479	3224
519	3485	3217
520	3492	3211
521	3496	3201
522	3501	3193
523	3507	3186
524	3511	3177
525	3518	3170
526	3524	3163
527	3531	3156
528	3538	3150
529	3544	3143
530	3548	3134
531	3553	3125
532	3559	3118
533	3565	3111
534	3570	3103
535	3575	3094
536	3578	3085
537	3583	3077
538	3590	3070
539	3596	3063
540	3600	3054
541	3606	3047
542	3613	3041
543	3620	3034
544	3627	3028
545	3633	3021
546	3637	3012
547	3644	3006
548	3649	2997
549	3655	2990
550	3659	2982
551	3666	2975
552	3672	2968
553	3676	2960
554	3680	2950
555	3684	2942
556	3688	2933
557	3692	2925
558	3699	2918
559	3706	2912
560	3712	2905
561	3716	2896
562	3723	2890
563	3730	2883
564	3737	2877
565	3743	2870
566	3749	2863
567	3754	2855
568	3761	2848
569	3764	2840
570	3771	2833
571	3778	2827
572	3785	2820
573	3791	2814
574	3798	2807
575	3805	2801
576	3810	2793
577	3817	2787
578	3824	2780
579	3830	2773
580	3837	2767
581	3844	2761
582	3848	2752
583	3856	2746
584	3862	2740
585	3869	2733
586	3875	2726
587	3882	2720
588	3889	2713
589	3895	2707
590	3902	2701
591	3907	2692
592	3911	2684
593	3917	2677
594	3925	2671
595	3929	2663
596	3935	2656
597	3939	2648
598	3946	2641
599	3949	2633
600	3956	2626
601	3963	2620
602	3970	2613
603	3974	2605
604	3981	2599
605	3987	2592
606	3994	2585
607	3997	2577
608	4004	2571
609	4009	2563
610	4015	2556
611	4022	2550
612	4028	2543
613	4035	2536
614	4042	2530
615	4045	2522
616	4052	2515
617	4059	2509
618	4063	2501
619	4067	2492
620	4074	2486
621	4080	2479
622	4085	2472
623	4088	2463
624	4095	2457
625	4102	2450
626	4108	2444
627	4112	2436
628	4119	2429
629	4126	2423
630	4132	2416
631	4136	2408
632	4140	2400
633	4145	2393
634	4150	2385
635	4157	2379
636	4162	2372
637	4168	2365
638	4174	2358
639	4178	2350
640	4182	2342
641	4189	2336
642	4195	2329
643	4202	2323
644	4207	2315
645	4211	2307
646	4215	2300
647	4219	2292
648	4226	2285
649	4230	2278
650	4234	2270
651	4240	2263
652	4247	2257
653	4251	2249
654	4259	2243
655	4263	2235
656	4270	2229
657	4273	2221
658	4280	2215
659	4284	2207
660	4291	2200
661	4297	2194
662	4304	2187
663	4310	2181
664	4315	2173
665	4319	2166
666	4326	2159
667	4332	2153
668	4339	2146
669	4342	2139
670	4346	2131
671	4353	2124
672	4359	2118
673	4363	2110
674	4367	2102
675	4373	2096
676	4377	2088
677	4384	2082
678	4388	2074
679	4394	2068
680	4401	2061
681	4408	2055
682	4414	2049
683	4418	2041
684	4425	2035
685	4432	2028
686	4437	2021
687	4443	2015
688	4450	2008
689	4454	2001
690	4458	1993
691	4462	1986
692	4465	1978
693	4471	1971
694	4475	1963
695	4479	1956
696	4484	1949
697	4487	1941
698	4491	1934
699	4495	1926
700	4499	1919
701	4504	1911
702	4509	1905
703	4516	1898
704	4520	1891
705	4523	1883
706	4527	1876
707	4531	1869
708	4538	1862
709	4545	1856
710	4548	1848
711	4555	1842
712	4559	1835
713	4566	1829
714	4569	1821
715	4576	1815
716	4582	1808
717	4589	1802
718	4595	1796
719	4599	1788
720	4606	1782
721	4613	1776
722	4617	1768
723	4623	1762
724	4628	1755
725	4634	1749
726	4643	1743
727	4648	1736
728	4651	1729
729	4656	1722
730	4660	1715
731	4667	1708
732	4671	1701
733	4676	1694
734	4682	1688
735	4689	1682
736	4695	1675
737	4702	1669
738	4706	1662
739	4710	1655
740	4717	1648
741	4721	1641
742	4727	1635
743	4732	1628
744	4739	1622
745	4744	1615
746	4750	1609
747	4757	1602
748	4761	1595
749	4765	1588
750	4769	1581
751	4773	1574
752	4777	1567
753	4782	1560
754	4786	1553
755	4790	1546
756	4795	1539
757	4801	1533
758	4805	1525
759	4812	1519
760	4815	1512
761	4822	1506
762	4827	1499
763	4831	1492
764	4838	1486
765	4842	1479
766	4846	1472
767	4850	1465
768	4857	1459
769	4863	1452
770	4868	1445
771	4874	1439
772	4878	1432
773	4882	1425
774	4886	1418
775	4890	1411
776	4897	1405
777	4901	1398
778	4906	1391
779	4912	1385
780	4916	1378
781	4923	1372
782	4927	1365
783	4933	1359
784	4938	1352
785	4942	1345
786	4949	1339
787	4955	1333
788	4960	1326
789	4964	1319
790	4970	1313
791	4977	1307
792	4983	1300
793	4987	1294
794	4992	1287
795	4998	1281
796	5005	1274
797	5009	1267
798	5015	1261
799	5022	1255
800	5026	1248
801	5031	1242
802	5038	1236
803	5043	1229
804	5047	1222
805	5054	1216
806	5061	1210
807	5067	1204
808	5071	1197
809	5078	1191
810	5084	1184
811	5091	1178
812	5097	1172
813	5101	1165
814	5108	1159
815	5115	1153
816	5118	1146
817	5122	1139
818	5129	1133
819	5135	1127
820	5142	1121
821	5149	1115
822	5156	1108
823	5162	1102
824	5168	1096
825	5172	1089
826	5176	1082
827	5182	1076
828	5187	1070
829	5194	1063
830	5201	1057
831	5205	1051
832	5209	1044
833	5216	1038
834	5223	1032
835	5230	1026
836	5236	1019
837	5243	1013
838	5251	1007
839	5257	1001
840	5263	995
841	5269	988
842	5276	982
843	5284	976
844	5290	970
845	5295	964
846	5302	957
847	5306	951
848	5314	945
849	5318	938
850	5322	931
851	5326	925
852	5333	919
853	5340	913
854	5348	907
855	5356	901
856	5363	894
857	5370	888
858	5377	882
859	5384	876
860	5391	870
861	5395	863
862	5402	857
863	5407	851
864	5413	844
865	5421	838
866	5428	832
867	5436	826
868	5442	820
869	5449	814
870	5456	808
871	5463	801
872	5467	795
873	5474	789
874	5480	782
875	5485	776
876	5489	769
877	5496	763
878	5502	757
879	5509	751
880	5516	745
881	5521	738
882	5525	732
883	5532	725
884	5536	719
885	5539	712
886	5544	706
887	5548	699
888	5555	693
889	5562	687
890	5569	681
891	5575	675
892	5579	668
893	5583	662
894	5590	655
895	5597	649
896	5600	643
897	5606	636
898	5613	630
899	5620	624
900	5627	618
901	5631	611
902	5637	605
903	5643	599
904	5650	593
905	5657	586
906	5662	580
907	5666	574
908	5670	567
909	5674	561
910	5680	554
911	5683	548
912	5690	542
913	5697	536
914	5701	529
915	5705	523
916	5711	517
917	5718	510
918	5722	504
919	5728	498
920	5735	491
921	5741	485
922	5745	479
923	5749	472
924	5756	466
925	5762	460
926	5765	454
927	5772	447
928	5779	441
929	5782	435
930	5786	428
931	5791	422
932	5796	416
933	5799	409
934	5803	403
935	5808	397
936	5817	391
937	5823	384
938	5827	378
939	5833	372
940	5840	366
941	5844	359
942	5848	353
943	5852	347
944	5856	340
945	5861	334
946	5869	328
947	5873	322
948	5878	315
949	5883	309
950	5888	303
951	5892	297
952	5901	291
953	5909	284
954	5914	278
955	5921	272
956	5928	266
957	5936	260
958	5942	254
959	5950	247
960	5956	241
961	5963	235
962	5972	229
963	5980	223
964	5984	217
965	5989	210
966	5996	204
967	6004	198
968	6012	192
969	6020	186
970	6028	180
971	6032	173
972	6039	167
973	6048	161
974	6053	155
975	6061	149
976	6068	142
977	6075	136
978	6083	130
979	6088	124
980	6092	118
981	6100	111
982	6107	105
983	6112	99
984	6120	93
985	6127	87
986	6132	80
987	6140	74
988	6146	68
989	6153	62
990	6159	55
991	6163	49
992	6167	43
993	6172	37
994	6177	31
995	6182	24
996	6188	18
997	6195	12
998	6203	6
999	6212	0
