iter	RMSE
182	6.49562546
183	6.485979136
184	6.462495659
185	6.439212105
186	6.411720951
187	6.373466129
188	6.362760704
189	6.348923847
190	6.340005443
191	6.333059205
192	6.327765214
193	6.317933752
194	6.282791273
195	6.271783096
196	6.26559222
197	6.262638821
198	6.25804263
199	6.247039229
200	6.238364666
201	6.22235391
202	6.219052846
203	6.214953825
204	6.198374333
205	6.193870603
206	6.179455549
207	6.176653578
208	6.172996307
209	6.164089926
210	6.156956868
211	6.125054095
212	6.10639269
213	6.093398952
214	6.078524426
215	6.071003282
216	6.068789501
217	6.049497824
218	6.04284933
219	6.037441115
220	6.021326985
221	6.016286232
222	6.006575277
223	5.999070514
224	5.996895769
225	5.993161134
226	5.991657896
227	5.982872146
228	5.952301153
229	5.943942633
230	5.924801061
231	5.904829971
232	5.902156976
233	5.892949772
234	5.881510108
235	5.879702175
236	5.869097423
237	5.858645126
238	5.853058103
239	5.851597682
240	5.84977123
241	5.833316061
242	5.830093834
243	5.825118778
244	5.81918525
245	5.809601092
246	5.798262653
247	5.770425704
248	5.754448412
249	5.74964414
250	5.739740648
251	5.734861888
252	5.729700327
253	5.725862481
254	5.721544578
255	5.718415914
256	5.709525654
257	5.705975111
258	5.695958614
259	5.690650428
260	5.664913815
261	5.65548055
262	5.650378328
263	5.646191275
264	5.637373406
265	5.629409165
266	5.625136924
267	5.61603121
268	5.605898073
269	5.602938439
270	5.600033465
271	5.57283948
272	5.547649734
273	5.542625139
274	5.540552231
275	5.538150905
276	5.533074437
277	5.518765933
278	5.500932447
279	5.496014801
280	5.490715171
281	5.489414967
282	5.486335106
283	5.484610822
284	5.479344542
285	5.453881787
286	5.447127393
287	5.445025246
288	5.443812545
289	5.425096462
290	5.417758125
291	5.398091218
292	5.393785018
293	5.365293382
294	5.358369465
295	5.349596206
296	5.346827919
297	5.332135384
298	5.314221972
299	5.308966057
300	5.302005493
301	5.300556098
302	5.27964022
303	5.277565165
304	5.269285825
305	5.26819395
306	5.266513035
307	5.250297094
308	5.247656613
309	5.245934767
310	5.236360046
311	5.223258377
312	5.220432932
313	5.217288804
314	5.209146328
315	5.198513063
316	5.189481507
317	5.182299331
318	5.17811453
319	5.175665781
320	5.174659184
321	5.169977255
322	5.166543657
323	5.165672382
324	5.148810545
325	5.139105395
326	5.130211166
327	5.115093609
328	5.111139817
329	5.108812951
330	5.107860134
331	5.104403352
332	5.104087326
333	5.101050586
334	5.075951534
335	5.073869172
336	5.073574923
337	5.059746964
338	5.05788664
339	5.052499638
340	5.050779164
341	5.045555276
342	5.029945244
343	5.029253924
344	5.024892695
345	5.020443156
346	5.01713875
347	5.010773982
348	4.997440906
349	4.995704768
350	4.987001605
351	4.983521643
352	4.976416978
353	4.974201019
354	4.973462991
355	4.965993373
356	4.945723198
357	4.944826338
358	4.942925506
359	4.94184935
360	4.936284887
361	4.928202424
362	4.921237597
363	4.907427934
364	4.906574424
365	4.894288399
366	4.880545803
367	4.878805797
368	4.878607614
369	4.878417764
370	4.86820603
371	4.851142033
372	4.848545134
373	4.84780836
374	4.844257806
375	4.843533381
376	4.830379692
377	4.830225855
378	4.817683398
379	4.81636162
380	4.815951256
381	4.815223177
382	4.80571464
383	4.796363995
384	4.783678885
385	4.77411503
386	4.759848828
387	4.757820747
388	4.752610384
389	4.751788804
390	4.733405961
391	4.731867165
392	4.731286891
393	4.731076386
394	4.730872834
395	4.71687945
396	4.713792211
397	4.700918501
398	4.690951937
399	4.68468831
400	4.672202635
401	4.66852932
402	4.666628675
403	4.650887939
404	4.642874134
405	4.639940401
406	4.638948294
407	4.631037257
408	4.625111857
409	4.615432696
410	4.614513421
411	4.609314887
412	4.601285105
413	4.599360253
414	4.594435367
415	4.592433176
416	4.582545674
417	4.579209624
418	4.573103098
419	4.571878865
420	4.557399021
421	4.5539452
422	4.546363598
423	4.534646544
424	4.533864958
425	4.517859808
426	4.504526166
427	4.502324118
428	4.488896202
429	4.481552607
430	4.473063481
431	4.47166497
432	4.469689283
433	4.459185082
434	4.450076625
435	4.441865639
436	4.428421104
437	4.414304912
438	4.406608597
439	4.389949745
440	4.386521553
441	4.366579286
442	4.363158489
443	4.361148975
444	4.360252523
445	4.348060037
446	4.33756706
447	4.331701398
448	4.325156297
449	4.318672615
450	4.315951521
451	4.299140817
452	4.285975986
453	4.282062537
454	4.277583407
455	4.276159933
456	4.275672346
457	4.266906677
458	4.261880179
459	4.25598464
460	4.246287258
461	4.236250262
462	4.234574964
463	4.219362187
464	4.210754015
465	4.202740512
466	4.197260266
467	4.190821216
468	4.184109463
469	4.175638128
470	4.173534147
471	4.167794211
472	4.166345784
473	4.159344385
474	4.153878254
475	4.146646471
476	4.125464769
477	4.107154045
478	4.100371024
479	4.087314515
480	4.085777804
481	4.078814825
482	4.07280344
483	4.071512534
484	4.066689785
485	4.058327614
486	4.048287199
487	4.037555774
488	4.036518337
489	4.030621139
490	4.018607321
491	4.014330066
492	4.01016663
493	4.005382973
494	4.004442684
495	3.997117472
496	3.987309746
497	3.979168371
498	3.973093272
499	3.969362913
500	3.967683095
501	3.96359043
502	3.957914417
503	3.952748302
504	3.948676101
505	3.943102944
506	3.936210746
507	3.9309906
508	3.925544857
509	3.915867377
510	3.909210684
511	3.903127596
512	3.90094481
513	3.897844379
514	3.893356698
515	3.890462018
516	3.888764062
517	3.884861334
518	3.884636635
519	3.883462801
520	3.868421996
521	3.867818887
522	3.860909858
523	3.859782899
524	3.856648121
525	3.850314421
526	3.840379009
527	3.836870224
528	3.834877856
529	3.817198353
530	3.81602675
531	3.814510787
532	3.81060841
533	3.80670305
534	3.804414138
535	3.80034143
536	3.797481595
537	3.795736304
538	3.795241495
539	3.792975806
540	3.792686401
541	3.787932581
542	3.779758536
543	3.778941441
544	3.778802101
545	3.77790402
546	3.774571117
547	3.774022577
548	3.770619568
549	3.768919931
550	3.764206875
551	3.761793985
552	3.758205773
553	3.756386267
554	3.756235257
555	3.7511407
556	3.750577238
557	3.74335452
558	3.742470326
559	3.741491929
560	3.738100644
561	3.735822992
562	3.735241917
563	3.734558673
564	3.729290846
565	3.723332604
566	3.71927882
567	3.717681972
568	3.717522223
569	3.714126919
570	3.706675837
571	3.704436923
572	3.695549104
573	3.694527601
574	3.691308781
575	3.691290015
576	3.689232551
577	3.683597859
578	3.677433736
579	3.677123381
580	3.675695491
581	3.672142003
582	3.671049067
583	3.669971644
584	3.664583746
585	3.661341115
586	3.660163694
587	3.656681618
588	3.656223767
589	3.653066804
590	3.642620821
591	3.630223545
592	3.628349607
593	3.627397184
594	3.624874119
595	3.62465522
596	3.623531251
597	3.620964288
598	3.614200836
599	3.613964938
600	3.609072483
601	3.608871686
602	3.60579874
603	3.605732106
604	3.599890022
605	3.595017353
606	3.593973477
607	3.590610149
608	3.590482253
609	3.578608003
610	3.564143542
611	3.563043309
612	3.56053219
613	3.557565227
614	3.552297431
615	3.552183975
616	3.55216611
617	3.549242789
618	3.546395051
619	3.530868628
620	3.527323185
621	3.527261111
622	3.522715238
623	3.521517879
624	3.517003698
625	3.511226167
626	3.511049574
627	3.506280571
628	3.505207366
629	3.502587986
630	3.496475348
631	3.496290806
632	3.492420111
633	3.491383159
634	3.490350617
635	3.487403815
636	3.484600348
637	3.48331674
638	3.478689352
639	3.477990667
640	3.474665497
641	3.46338614
642	3.462492848
643	3.456635558
644	3.453239327
645	3.452124234
646	3.449455277
647	3.447742873
648	3.442646
649	3.439470879
650	3.436654669
651	3.436161017
652	3.434771024
653	3.433814989
654	3.427799885
655	3.422222941
656	3.421462889
657	3.420305288
658	3.418312306
659	3.417924993
660	3.41204344
661	3.404274686
662	3.400283577
663	3.399198424
664	3.393915899
665	3.391209273
666	3.384469591
667	3.379731089
668	3.363079641
669	3.360519427
670	3.359617816
671	3.355605928
672	3.349687259
673	3.348808479
674	3.347956959
675	3.347132142
676	3.346332887
677	3.343830836
678	3.335570393
679	3.33480599
680	3.33381257
681	3.333119413
682	3.330573838
683	3.32609426
684	3.317935365
685	3.317870396
686	3.314791307
687	3.308985552
688	3.308861703
689	3.308715011
690	3.304484185
691	3.302348404
692	3.296876763
693	3.294365382
694	3.293937171
695	3.287748372
696	3.287383546
697	3.287003501
698	3.284695906
699	3.28310133
700	3.282131814
701	3.275161762
702	3.2745127
703	3.268235095
704	3.262859461
705	3.260162599
706	3.248473092
707	3.248169026
708	3.241740592
709	3.240000787
710	3.234127873
711	3.233724492
712	3.22773886
713	3.225620743
714	3.22077247
715	3.220283781
716	3.217563128
717	3.216959514
718	3.216603827
719	3.200560639
720	3.19834698
721	3.191172987
722	3.188025775
723	3.184086738
724	3.171578406
725	3.166947814
726	3.161268638
727	3.160811822
728	3.160135441
729	3.15983192
730	3.159387928
731	3.159023459
732	3.151027524
733	3.141336577
734	3.138533443
735	3.12839845
736	3.126756699
737	3.122247672
738	3.118566356
739	3.118362557
740	3.114590488
741	3.110885162
742	3.108739316
743	3.107675035
744	3.107463194
745	3.100808834
746	3.098636313
747	3.092207658
748	3.091149124
749	3.086728067
750	3.081435554
751	3.078141524
752	3.066747016
753	3.06664545
754	3.064665893
755	3.061796522
756	3.05006288
757	3.048852921
758	3.043620757
759	3.042745758
760	3.040759405
761	3.037331634
762	3.035411637
763	3.035290509
764	3.032004341
765	3.031733209
766	3.027969365
767	3.027514356
768	3.026350604
769	3.022343501
770	3.021588672
771	3.014033038
772	3.011065868
773	3.009971557
774	3.002994557
775	2.999056713
776	2.995760713
777	2.991132275
778	2.978599634
779	2.978058031
780	2.974933514
781	2.973341107
782	2.970418091
783	2.967049952
784	2.964563085
785	2.964383995
786	2.962810605
787	2.959167322
788	2.950551206
789	2.946328894
790	2.94252923
791	2.940743194
792	2.93970147
793	2.93548913
794	2.932461484
795	2.928905153
796	2.923725249
797	2.923319965
798	2.911351516
799	2.90791363
800	2.907566953
801	2.906671996
802	2.905793602
803	2.896177736
804	2.894189036
805	2.889774918
806	2.888049347
807	2.885096668
808	2.882031547
809	2.881203981
810	2.880157878
811	2.879358204
812	2.878330784
813	2.875222734
814	2.871578985
815	2.871302489
816	2.870652391
817	2.870353361
818	2.868300483
819	2.866741611
820	2.865756321
821	2.86551899
822	2.860568751
823	2.854221146
824	2.85363336
825	2.853084334
826	2.851032274
827	2.850660242
828	2.83905631
829	2.836212405
830	2.832921615
831	2.832148114
832	2.831426583
833	2.818977983
834	2.81844515
835	2.81770799
836	2.814436957
837	2.81055783
838	2.810065463
839	2.809167896
840	2.79800418
841	2.79674129
842	2.794689632
843	2.794275514
844	2.79362223
845	2.789878679
846	2.78932874
847	2.781917159
848	2.781737281
849	2.780986906
850	2.780558901
851	2.776772182
852	2.773060036
853	2.772643386
854	2.771494785
855	2.770314235
856	2.75977371
857	2.756121539
858	2.750166014
859	2.749289857
860	2.748098533
861	2.744495426
862	2.739618785
863	2.73505625
864	2.732594286
865	2.727219059
866	2.726140609
867	2.716611626
868	2.713308249
869	2.713111413
870	2.712966879
871	2.70924142
872	2.703806778
873	2.701787731
874	2.700810778
875	2.697583764
876	2.697019854
877	2.693626183
878	2.693372605
879	2.693158574
880	2.692084204
881	2.691554057
882	2.691075467
883	2.690617226
884	2.689341284
885	2.686835809
886	2.68381247
887	2.682375912
888	2.681898485
889	2.680166225
890	2.679896642
891	2.679473912
892	2.677992972
893	2.677734839
894	2.677254683
895	2.666918334
896	2.666663942
897	2.66479281
898	2.664399773
899	2.661652347
900	2.658892972
901	2.658471913
902	2.657999395
903	2.657586123
904	2.656850641
905	2.656624551
906	2.656262036
907	2.641834718
908	2.641467606
909	2.637940955
910	2.628708392
911	2.627675326
912	2.627325226
913	2.624595467
914	2.624468576
915	2.623333022
916	2.623160643
917	2.621237205
918	2.621070048
919	2.620696054
920	2.619526503
921	2.617777397
922	2.617608353
923	2.617162421
924	2.615848612
925	2.614634375
926	2.613624196
927	2.605127985
928	2.599355396
929	2.59905609
930	2.598474247
931	2.589603064
932	2.589088791
933	2.576025875
934	2.575873931
935	2.575146902
936	2.571838118
937	2.563710965
938	2.563149164
939	2.560285047
940	2.559676508
941	2.5580642
942	2.556709129
943	2.554064445
944	2.552477344
945	2.551600701
946	2.544542411
947	2.54389783
948	2.543733493
949	2.540769134
950	2.539647082
951	2.539413704
952	2.538850342
953	2.536571198
954	2.536298098
955	2.535785718
956	2.535519506
957	2.535099166
958	2.534853139
959	2.53460747
960	2.531694036
961	2.531427777
962	2.520294168
963	2.511879348
964	2.510937022
965	2.510506873
966	2.503644146
967	2.501308716
968	2.500969399
969	2.492291874
970	2.492065238
971	2.491000395
972	2.490514386
973	2.490024197
974	2.489793658
975	2.487763799
976	2.487016369
977	2.486560264
978	2.486371583
979	2.485811985
980	2.484206238
981	2.481878769
982	2.478728758
983	2.477942242
984	2.477180702
985	2.468734793
986	2.468487843
987	2.468216924
988	2.467944798
989	2.464772754
990	2.464410225
991	2.464003999
992	2.463266468
993	2.463007955
994	2.460671164
995	2.460466225
996	2.46028903
997	2.460003523
998	2.459046144
999	2.458809253
